id,year_id,country_id,county_id,dimension_id,sub_dimension_id,category_id,indicator_id,actual_value
1,1,1,1001,1,1,1,1,67
2,1,1,1001,1,1,1,2,987
3,1,1,1001,1,1,2,3,26
4,1,1,1001,1,1,2,4,13
5,1,1,1001,1,1,2,5,0
6,1,1,1001,2,2,3,6,0
7,1,1,1001,2,2,3,7,1
8,1,1,1001,2,2,3,8,1
9,1,1,1001,2,2,4,9,3
10,1,1,1001,2,2,5,10,85
11,1,1,1001,2,2,5,11,1
12,1,1,1001,2,2,5,12,15
13,1,1,1001,2,2,6,13,73
14,1,1,1001,2,2,6,14,57
15,1,1,1001,2,3,7,15,88
16,1,1,1001,2,3,7,16,32
17,1,1,1001,2,3,7,17,7
18,1,1,1001,2,3,7,18,11000000
19,1,1,1001,2,3,8,19,12
20,1,1,1001,2,3,8,20,75
21,1,1,1001,2,3,9,21,16
22,1,1,1001,3,4,10,22,89
23,1,1,1001,3,4,11,23,29
24,1,1,1001,3,4,11,24,77
25,1,1,1001,3,4,11,25,42
26,1,1,1001,3,4,12,26,39
27,1,1,1001,3,4,12,27,31
28,1,1,1001,3,4,12,28,32
29,1,1,1001,3,4,13,30,45
30,1,1,1001,3,4,13,31,49
31,1,1,1001,3,4,13,32,15
32,1,1,1001,3,4,15,35,16
33,1,1,1001,3,4,15,36,6
34,1,1,1001,3,4,15,37,61
35,1,1,1001,3,4,15,38,55
36,1,1,1001,3,4,15,39,94
37,1,1,1001,3,4,15,40,12
38,1,1,1001,3,5,16,41,60
39,1,1,1001,3,5,16,42,38
40,1,1,1001,3,5,16,43,14
41,1,1,1001,3,5,17,44,48
42,1,1,1001,3,5,17,45,3
43,1,1,1001,3,5,18,48,35
44,1,1,1001,3,5,18,49,1
45,1,1,1001,3,5,19,52,64
46,1,1,1001,3,5,19,53,3
47,1,1,1001,3,5,20,57,72
48,1,1,1001,3,6,21,58,77
49,1,1,1001,3,6,21,61,0
50,1,1,1001,3,6,21,62,0
51,1,1,1001,3,6,22,64,2
52,1,1,1001,3,6,23,65,0
53,1,1,1001,3,6,24,66,14
54,1,1,1001,3,6,24,67,92
55,1,1,1001,3,6,24,68,90
56,1,1,1001,3,7,26,73,42
57,1,1,1001,3,7,27,74,30
58,1,1,1001,3,7,27,75,24
59,1,1,1001,3,7,27,76,2
60,1,1,1001,3,7,28,77,45
61,1,1,1001,3,7,28,78,29
62,1,1,1001,3,7,29,79,25
63,1,1,1001,3,7,29,80,31
64,1,1,1001,3,7,30,81,24
65,1,1,1001,3,7,30,82,0
66,1,1,1001,3,7,31,84,74
67,1,1,1001,3,7,31,86,42
68,1,1,1001,3,7,31,87,35
69,1,1,1001,3,7,31,88,13
70,1,1,1001,3,7,31,89,10
71,1,1,1001,3,7,31,90,85
72,1,1,1001,1,1,2,91,15
73,1,1,1001,2,2,6,92,9
74,1,1,1001,2,2,6,93,89
75,1,1,1001,3,4,13,94,32
76,2,1,1001,1,1,1,1,18
77,2,1,1001,1,1,1,2,842
78,2,1,1001,1,1,2,3,19
79,2,1,1001,1,1,2,4,27
80,2,1,1001,1,1,2,5,0
81,2,1,1001,2,2,3,6,8
82,2,1,1001,2,2,3,7,1
83,2,1,1001,2,2,3,8,0.4
84,2,1,1001,2,2,4,9,10
85,2,1,1001,2,2,5,10,12
86,2,1,1001,2,2,5,11,1
87,2,1,1001,2,2,5,12,72
88,2,1,1001,2,2,6,13,8
89,2,1,1001,2,2,6,14,72
90,2,1,1001,2,3,7,15,71
91,2,1,1001,2,3,7,16,81
92,2,1,1001,2,3,7,17,16
93,2,1,1001,2,3,7,18,10500000
94,2,1,1001,2,3,8,19,55
95,2,1,1001,2,3,8,20,90
96,2,1,1001,2,3,9,21,84
97,2,1,1001,3,4,10,22,24
98,2,1,1001,3,4,11,23,71
99,2,1,1001,3,4,11,24,85
100,2,1,1001,3,4,11,25,91
101,2,1,1001,3,4,12,26,62
102,2,1,1001,3,4,12,27,8
103,2,1,1001,3,4,12,28,93
104,2,1,1001,3,4,13,30,25
105,2,1,1001,3,4,13,31,49
106,2,1,1001,3,4,13,32,14
107,2,1,1001,3,4,15,35,83
108,2,1,1001,3,4,15,36,20
109,2,1,1001,3,4,15,37,7
110,2,1,1001,3,4,15,38,93
111,2,1,1001,3,4,15,39,6
112,2,1,1001,3,4,15,40,59
113,2,1,1001,3,5,16,41,14
114,2,1,1001,3,5,16,42,27
115,2,1,1001,3,5,16,43,26
116,2,1,1001,3,5,17,44,8
117,2,1,1001,3,5,17,45,3
118,2,1,1001,3,5,18,48,90
119,2,1,1001,3,5,18,49,2
120,2,1,1001,3,5,19,52,8
121,2,1,1001,3,5,19,53,5
122,2,1,1001,3,5,20,57,63
123,2,1,1001,3,6,21,58,8
124,2,1,1001,3,6,21,61,0
125,2,1,1001,3,6,21,62,1
